"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Chen C.-H.; Huang K.","Chen, Ching-Huei (57144212400); Huang, Kun (44761334100)","57144212400; 44761334100","The interplay of rewards and competition in digital game-based learning: Effects on intrinsic motivation, game performance and behaviors, and computational thinking","2024","Learning and Instruction","94","","101995","","","","0","10.1016/j.learninstruc.2024.101995","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202813404&doi=10.1016%2fj.learninstruc.2024.101995&partnerID=40&md5=c0b3be76893bb67197d7736855e43ed0","Article","Final","","Scopus","2-s2.0-85202813404"
"Choi Y.-W.; Go I.-G.; Gil Y.-J.","Choi, Yong-Woon (58990552300); Go, In-Gyu (57212465056); Gil, Yeong-Jae (58991525700)","58990552300; 57212465056; 58991525700","Correlation analysis between sub-element of technological thinking disposition and computational thinking of gifted students in South Korea","2024","International Journal of Technology and Design Education","34","5","","1835","1857","22","0","10.1007/s10798-024-09888-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190684593&doi=10.1007%2fs10798-024-09888-4&partnerID=40&md5=4bbc78ed2e4cd42293c342eb1d2c9252","Article","Final","","Scopus","2-s2.0-85190684593"
"Anwar V.N.; Darhim D.; Suhendra S.; Nurlaelah E.; Supriyadi E.","Anwar, Vita Nova (57221437163); Darhim, D. (57196235896); Suhendra, S. (57190936275); Nurlaelah, Elah (57196237689); Supriyadi, Edi (58534327100)","57221437163; 57196235896; 57190936275; 57196237689; 58534327100","IMPLEMENTATION OF DIGITAL PEDAGOGY MODEL FOR DEVELOPING COMPUTATIONAL THINKING IN MATHEMATICAL PROBLEM-SOLVING","2024","Journal of Engineering Science and Technology","19","4","","59","68","9","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205831906&partnerID=40&md5=1d687178a9215119ccc2e9ecf0412be0","Article","Final","","Scopus","2-s2.0-85205831906"
"","","","Erratum regarding missing Declaration of Competing Interest statements in previously published articles (International Journal of Child-Computer Interaction (2022) 31, (S2212868921001185), (10.1016/j.ijcci.2021.100443))","2024","International Journal of Child-Computer Interaction","41","","100674","","","","0","10.1016/j.ijcci.2024.100674","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199157043&doi=10.1016%2fj.ijcci.2024.100674&partnerID=40&md5=b5d5d3e97a7b032979a9068e518e4ad1","Erratum","Final","","Scopus","2-s2.0-85199157043"
"Yin X.; Feng Y.; Shi Q.; Liu Z.; Liu H.; Xu B.","Yin, Xizhe (59353090100); Feng, Yang (57214739527); Shi, Qingkai (56242157100); Liu, Zixi (57221434526); Liu, Hongwang (59353224000); Xu, Baowen (7404589262)","59353090100; 57214739527; 56242157100; 57221434526; 59353224000; 7404589262","FRIES: Fuzzing Rust Library Interactions via Efficient Ecosystem-Guided Target Generation","2024","ISSTA 2024 - Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis","","","","1137","1148","11","0","10.1145/3650212.3680348","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205578416&doi=10.1145%2f3650212.3680348&partnerID=40&md5=9df87d5006eea7b498f3705f7b6ee72a","Conference paper","Final","","Scopus","2-s2.0-85205578416"
"Kuljanin G.; Braun M.T.; Grand J.A.; Olenick J.D.; Chao G.T.; Kozlowski S.W.J.","Kuljanin, Goran (24281847000); Braun, Michael T. (57206834348); Grand, James A. (55567696400); Olenick, Jeffrey D. (57191974963); Chao, Georgia T. (59083066700); Kozlowski, Steve W.J. (7006759140)","24281847000; 57206834348; 55567696400; 57191974963; 59083066700; 7006759140","Advancing Organizational Science With Computational Process Theories","2024","Leadership Quarterly","35","4","101797","","","","2","10.1016/j.leaqua.2024.101797","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194903332&doi=10.1016%2fj.leaqua.2024.101797&partnerID=40&md5=641a3dc550b5faa0e3661dbc1af81341","Article","Final","","Scopus","2-s2.0-85194903332"
"Kuylen M.; Han S.; Harris L.; Huys Q.; Monsó S.; Pitman A.; Fleming S.M.; David A.S.","Kuylen, Margot (57222320308); Han, Shihui (7405942378); Harris, Lasana (9633819800); Huys, Quentin (14056255700); Monsó, Susana (56695282000); Pitman, Alexandra (13103656500); Fleming, Stephen M. (35068005100); David, Anthony S. (57208765987)","57222320308; 7405942378; 9633819800; 14056255700; 56695282000; 13103656500; 35068005100; 57208765987","Mortality Awareness: New Directions","2024","Omega (United States)","90","1","","143","157","14","0","10.1177/00302228221100640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132634673&doi=10.1177%2f00302228221100640&partnerID=40&md5=fa54202969c25177550dd7d115c2d31f","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85132634673"
"Omran Zailuddin M.F.N.; Nik Harun N.A.; Abdul Rahim H.A.; Kamaruzaman A.F.; Berahim M.H.; Harun M.H.; Ibrahim Y.","Omran Zailuddin, Mohd Firdaus Naif (59168533400); Nik Harun, Nik Ashri (59168402800); Abdul Rahim, Haris Abadi (57822013900); Kamaruzaman, Azmul Fadhli (57221740864); Berahim, Muhammad Hawari (57226379638); Harun, Mohd Hilmi (57226375979); Ibrahim, Yuhanis (57871537200)","59168533400; 59168402800; 57822013900; 57221740864; 57226379638; 57226375979; 57871537200","Redefining creative education: a case study analysis of AI in design courses","2024","Journal of Research in Innovative Teaching and Learning","17","2","","282","296","14","0","10.1108/JRIT-01-2024-0019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195688170&doi=10.1108%2fJRIT-01-2024-0019&partnerID=40&md5=2f8c79167c26ce0a2fc9afe0c0be13a8","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85195688170"
"Baladron J.; Hamker F.H.","Baladron, Javier (55241578300); Hamker, Fred H. (6603298115)","55241578300; 6603298115","Re-Thinking the Organization of Cortico-Basal Ganglia-Thalamo-Cortical Loops","2024","Cognitive Computation","16","5","","2405","2410","5","1","10.1007/s12559-023-10140-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153387712&doi=10.1007%2fs12559-023-10140-9&partnerID=40&md5=f0291213bb10670cde0f19f294e482ef","Article","Final","","Scopus","2-s2.0-85153387712"
"Li Z.; Oon P.T.","Li, Zuokun (59067745900); Oon, Pey Tee (34969613900)","59067745900; 34969613900","The transfer effect of computational thinking (CT)-STEM: a systematic literature review and meta-analysis","2024","International Journal of STEM Education","11","1","44","","","","0","10.1186/s40594-024-00498-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203336938&doi=10.1186%2fs40594-024-00498-z&partnerID=40&md5=90df126f09a9d882afaa467608173eff","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85203336938"
